AnnualRainfall,SeasonalRainfall,Temperature,Humidity,RiverLevel,SoilMoisture,WindSpeed,Pressure,Visibility,CloudCover,Flood
3674,454,34,64,4.178182676599473,61,74,989,3,59,0
1360,2628,29,97,8.72070387233207,35,48,1001,5,70,0
1794,1091,18,87,1.2458756047756896,64,73,961,5,96,0
1630,741,39,40,1.02923135435358,22,7,976,2,47,0
1595,1487,30,47,3.531333614726168,59,14,968,2,65,0
3592,1833,36,99,9.226000333083501,39,8,1006,6,97,1
2138,1024,38,60,9.113298233230147,26,60,1003,2,93,0
2669,1552,22,73,5.668857512213571,78,44,964,6,68,0
966,480,21,63,5.979131840256604,30,37,986,7,36,0
1738,1498,33,76,3.9880721018546996,71,37,1010,4,46,0
830,972,31,65,3.1936299582502885,22,64,967,4,81,0
1982,2966,35,86,8.336996687909064,40,25,993,3,30,0
2635,527,27,53,1.9566537444967729,72,73,970,1,63,0
3944,2458,29,97,5.386189337907722,49,49,978,4,55,1
3671,2974,16,68,6.70957533547376,30,61,964,3,35,0
3419,1122,24,69,1.933122613339263,44,44,1017,8,79,0
630,751,27,42,5.676463859251116,69,68,1013,5,71,0
2185,2273,32,46,6.1976915912119885,28,14,963,7,41,0
3880,2274,37,75,7.682464544566283,64,78,986,3,97,0
1269,901,25,50,3.1135244423277957,48,70,1003,3,96,0
2891,2119,27,71,3.6399475296168244,81,69,1008,6,90,0
2015,2929,33,98,6.125690319697301,34,34,1008,4,57,0
3985,2660,38,97,9.848137689834527,38,39,1004,8,84,1
3353,366,39,51,2.9574386453810297,34,57,992,3,70,0
2933,368,38,54,9.873134444111177,58,43,1001,5,42,0
1715,428,36,77,7.429082797490331,54,26,988,1,34,0
1455,2202,19,97,8.434738626670208,32,71,1026,1,98,0
2824,566,17,63,1.806771414127053,35,74,968,8,50,0
1684,727,33,40,3.7037816868756903,86,71,1005,7,47,0
959,990,37,57,1.5196265168588294,74,79,985,1,86,0
3885,723,27,85,4.343922955028577,84,21,1001,6,61,0
521,1295,19,95,9.831606939280467,54,23,993,2,44,0
2800,1868,26,46,1.9474575598570463,35,64,995,1,52,0
1247,2353,28,81,6.0613550413407955,20,76,989,5,42,0
3404,2979,20,80,1.0546356053243109,69,55,1029,5,72,1
974,2108,36,41,7.414145344396564,33,52,1002,2,35,0
1582,1505,23,79,2.7747342313483694,81,61,1006,5,56,0
3058,332,31,93,2.166260834122866,26,14,968,7,24,0
2547,2781,22,70,4.033160309447089,42,36,1027,4,30,0
3247,2516,27,72,7.939398681450834,82,72,993,2,31,0
1475,2920,19,91,1.9595177768008973,48,32,969,5,40,0
2306,1842,36,69,3.0685509621882585,41,8,993,6,37,0
689,2088,36,70,1.0761797945557858,99,65,992,8,33,0
3505,1970,31,73,9.715733764260563,25,16,956,9,52,0
3234,217,17,46,6.329310399899775,48,19,991,8,40,0
3505,1977,20,64,7.479096727462295,21,33,1011,7,45,0
1062,316,28,55,6.862448540404131,83,17,951,9,44,0
2399,997,29,61,2.2992810298270694,55,42,1026,9,54,0
1767,2798,28,75,6.354459450945947,39,62,995,6,82,0
3379,1911,25,92,2.182740356271359,74,39,987,3,39,1
2028,952,25,66,4.611128085668151,56,44,950,8,82,0
3702,2669,23,56,6.1206682233276375,71,9,996,3,85,0
1146,1592,20,43,6.029930026919403,88,6,962,1,31,0
2568,2893,29,97,2.0716608338446685,89,34,1009,4,51,1
3388,2805,26,74,1.3099237268186996,41,14,1013,9,67,0
2714,2297,20,80,8.184108824864325,34,77,1017,8,78,1
1797,877,15,61,7.533301932964048,66,42,1004,6,39,0
2935,305,39,86,1.7363701410826424,90,63,980,3,56,0
1100,857,30,91,2.146739669213981,88,39,963,3,59,0
2863,2146,34,74,9.033253987506583,71,75,954,7,80,0
2561,1648,29,83,7.92216011459602,58,16,1003,5,75,1
741,1295,16,54,9.965442665950068,21,46,1002,3,33,0
2541,1187,31,91,3.285887042845195,64,53,986,1,55,0
3324,2008,17,79,5.390226899819334,43,71,1006,9,95,1
3917,1982,17,83,3.128136184561201,80,37,952,5,53,1
3112,645,19,60,6.605201246295787,84,17,1026,7,25,0
3445,2148,31,52,2.0387281518218616,72,79,960,9,65,0
1863,2317,37,86,2.145188554687298,40,24,991,4,96,0
2639,2197,31,50,1.6469910226461038,86,37,1004,5,41,0
1890,2397,34,88,7.2422747403775025,20,38,987,3,42,0
